,wine_index,white_wine,white_wineries,white_regions,white_countries,white_avg_wine_ratings,white_avg_price,vintage_year
2002,2002,Pinot Grigio,Sutter Home,Napa Valley,United States,3.0,5.98,
2003,2003,Santa Cruz Mountains Chardonnay 2010,Thomas Fogarty,San Francisco Bay,United States,3.8,22.66,2010.0
2004,2004,La Brume Chardonnay 2014,Michel - Schlumberger,California,United States,4.0,19.98,2014.0
2005,2005,Riesling Alsace Cuv\xe9e Theo 2014,Domaine Weinbach,Alsace,France,3.9,34.18,2014.0
2006,2006,Sauvignon Blanc,Ritual,Valle de Casablanca,Chile,3.9,16.98,
2007,2007,Pinot Grigio,Frontera,Valle Central,Chile,3.2,5.98,
2008,2008,Grillo 2014,Principi di Butera,Terre Siciliane,Italy,3.3,15.64,2014.0
2009,2009,Pinot Grigio,Murphy-Goode,California,United States,3.5,10.98,
2010,2010,Vintners Blend Chardonnay 2013,Ravenswood Winery,Sonoma County,United States,3.3,8.98,2013.0
2011,2011,Corton-Charlemagne Grand Cru,Louis Jadot,Bourgogne,France,4.4,153.47,
2012,2012,R\xedas Baixas Val Do Saln\xe9s Albarino 2013,La Marimorena,Galicia,Spain,3.8,16.98,2013.0
2013,2013,Bordeaux Sauvignon Blanc S\xe9millon,Salmon & Trout,Bordeaux,France,3.2,9.62,
2014,2014,Lolea Sparkling Clarea No 2 White,Sangria,Minnesota,United States,3.9,15.98,
2015,2015,Mont\xe9e de Tonnerre Chablis Premier Cru 2014,Servin,Chablis,France,3.8,38.32,2014.0
2016,2016,B\xe2tard-Montrachet Grand Cru 2010,Louis Jadot,Bourgogne,France,4.6,278.0,2010.0
2017,2017,Pariglia Vermentino di Sardegna 2014,Contini,Sardegna,Italy,3.6,13.98,2014.0
2018,2018,Kirchspiel Riesling 2012,Keller,Rheinhessen,Germany,4.6,29.99,2012.0
2019,2019,Bourgogne Chardonnay 2014,Bouchard P\xe8re & Fils,Bourgogne,France,3.6,21.25,2014.0
