,index,Unnamed: 0,0,1,2,3,4,5
5709,10,10,[u'Saint-Aubin La Fontenotte 2013'],[u'Marc Colin et Fils'],[u'Saint-Aubin'],[u'France'],"[u'\nAvg. Rating: 4.0\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $40.91\n', u'\n']"
5710,11,11,[u'Riesling'],[u'Hogue'],[u'Columbia Valley'],[u'United States'],"[u'\nAvg. Rating: 3.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $9.98\n', u'\n']"
5711,12,12,[u'Sherry Piconera Solera Pedro Ximenez'],[u'Las Urtas'],[u'Andaluc\xeda'],[u'Spain'],"[u'\nAvg. Rating: 4.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $24.26\n', u'\n']"
5712,13,13,[u'Chardonnay 2013'],[u'Schug'],[u'Sonoma County'],[u'United States'],"[u'\nAvg. Rating: 3.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $22.98\n', u'\n']"
5713,14,14,[u'Riesling'],[u'Prejean'],[u'Finger Lakes'],[u'United States'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $10.95\n', u'\n']"
5714,15,15,[u'Sauvignon Blanc 2014'],[u'Alpha Estate'],[u'Amyndeon'],[u'Greece'],"[u'\nAvg. Rating: 4.0\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $18.98\n', u'\n']"
5715,16,16,[u'Wildly Wicked White'],[u'Live-A-Little'],[u'Stellenbosch'],[u'South Africa'],"[u'\nAvg. Rating: 2.9\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $9.98\n', u'\n']"
5716,17,17,[u'The Y Series Unwooded Chardonnay 2013'],[u'Yalumba'],[u'South Australia'],[u'Australia'],"[u'\nAvg. Rating: 3.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $11.98\n', u'\n']"
5717,18,18,[u'Shakre Chardonnay'],[u'Vinaceous'],[u'Western Australia'],[u'Australia'],"[u'\nAvg. Rating: 3.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $17.23\n', u'\n']"
5718,19,19,[u'Miller Ranch Sauvignon Blanc'],[u'Silverado'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $19.99\n', u'\n']"
5719,20,20,"[u""Moscato d'Asti 2013""]",[u'Bartenura'],[u'Piemonte'],[u'Italy'],"[u'\nAvg. Rating: 4.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $14.98\n', u'\n']"
